design,source,hte,n,p,reps,G,R2_tau,PATE,IREG_HC1,IREG_HC1c,IREG_HC2,IREG_HC2c,IREG_HC3,IREG_HC3c,REG_HC1,REG_HC3,IREG_HC1_mcse,IREG_HC1c_mcse,IREG_HC2_mcse,IREG_HC2c_mcse,IREG_HC3_mcse,IREG_HC3c_mcse,REG_HC1_mcse,REG_HC3_mcse,IREG_HC1o,IREG_HC3o,plug_mean,plug_median,G_over_n,plug_mean_over_G_over_n,HC1_width_ratio_median,HC1_frac_miss_to_cover,frac_rank_deficient,frac_leverage_one
gauss_iid_n1000_p5,prev_table3,True,1000,5,10000,0.09,0.022004889975550123,1.0,0.9452,0.9481,0.9452,0.9483,0.9468,0.9499,0.9474,0.9483,0.002275894549402497,0.00221825133832936,0.002275894549402497,0.0022142066299241352,0.0022443208326796775,0.002181513007066427,0.0022323359962156232,0.0022142066299241352,0.9482,0.949,0.00011091337119567839,0.00010712305111593256,8.999999999999999e-05,1.2323707910630932,1.013226483845153,0.0029,0.0,0.0
gauss_iid_n500_p5,prev_table1,True,500,5,20000,0.09,0.022004889975550123,1.0,0.94745,0.95055,0.9475,0.95065,0.9497,0.9534,0.95005,0.9517,0.001577791137952042,0.0015330475775395883,0.001577081957286938,0.0015315772507451266,0.001545475816698534,0.0014904435581396562,0.0015403732907967478,0.0015160328162675109,0.94945,0.9523,0.0002618947356748372,0.000246766780239889,0.00017999999999999998,1.454970753749096,1.0151736949885177,0.0031,0.0,0.0
gauss_indep_arms_n500_p5,prev_table1,True,500,5,20000,0.09,0.022004889975550123,1.0,0.9479,0.9514,0.94785,0.95135,0.95025,0.95355,0.95015,0.9517,0.0015713941262458639,0.0015204939986727996,0.0015721065087963987,0.0015212359695326687,0.0015374481698580927,0.0014881598956429378,0.0015389115877788425,0.0015160328162675109,0.94995,0.9527,0.0002604914188023902,0.0002452876142464344,0.00017999999999999998,1.447174548902168,1.0151021470684878,0.0035,0.0,0.0
heavy_het_n500_p5,prev_table1,True,500,5,20000,0.25000000000000006,0.015727537329230396,1.0,0.93345,0.9477,0.93865,0.9522,0.95285,0.9618,0.94785,0.95645,0.0017624003163299762,0.001574241245807008,0.0016968526379741997,0.0015085615665262051,0.0014987807961806827,0.001355373749192451,0.0015721065087963987,0.0014431458259649298,0.93535,0.95485,0.0029081371649100655,0.0008468043874766942,0.0005000000000000001,5.816274329820129,1.0165474675198198,0.01425,0.0,0.0
heavy_tail_example,current paper (run_example.py),True,500,1,100000,56.37935020714389,0.0094142022296205,2.51592709496916,0.85558,0.94363,0.88895,0.95752,0.94019,0.97287,0.94374,0.96729,0.0011115883392695336,0.0007293313588486377,0.000993568807380747,0.0006377730756311368,0.0007498850838628544,0.0005137505532843735,0.000728661872201366,0.0005624949413105865,0.86456,0.94461,3.5069922169114673,0.3208797585739657,0.11275870041428777,31.10174384793719,1.0574049358594548,0.08805,0.0,0.0
intro_example,current paper (run_example.py),True,500,1,100000,0.27202541540229297,0.0032441018118543135,1.5508511057343828,0.94484,0.94953,0.94774,0.95254,0.95238,0.95622,0.94976,0.95413,0.0007219236413915255,0.00069226280486532,0.000703767663366256,0.0006723655880545936,0.0006734414272971332,0.0006470186365167547,0.0006907672719519936,0.000661558335296291,0.9452,0.9527,0.0038380145786924107,0.001498920938118711,0.000544050830804586,7.054514691240241,1.0047505788343194,0.00469,0.0,0.0
large_hte_n1000_p10,prev_table3,True,1000,10,10000,9.0,0.6923076923076923,1.0,0.7217,0.9519,0.7216,0.9519,0.7268,0.9529,0.9513,0.9533,0.004481619238623468,0.002139775455509293,0.004482113787042895,0.002139775455509293,0.004456026929900671,0.002118527554694534,0.00215240121724552,0.002109955212794811,0.9518,0.9526,0.009037418452777876,0.00902596715641873,0.009,1.0041576058642085,1.7991144995970239,0.2302,0.0,0.0
large_hte_n1000_p2,prev_table3,True,1000,2,10000,9.0,0.6923076923076923,1.0,0.7204,0.9499,0.7204,0.9499,0.7217,0.9504,0.9497,0.9507,0.004488026737888267,0.002181513007066427,0.004488026737888267,0.002181513007066427,0.004481619238623468,0.0021711711125565387,0.002185632860294702,0.0021649367196294677,0.9505,0.9506,0.009008428513116113,0.008998451161489136,0.009,1.000936501457346,1.8019408620917836,0.2295,0.0,0.0
large_hte_n1000_p5,prev_table3,True,1000,5,10000,9.0,0.6923076923076923,1.0,0.7243,0.9493,0.7243,0.9493,0.7277,0.9497,0.9494,0.9506,0.004468663222933677,0.002193843886879829,0.004468663222933677,0.002193843886879829,0.004451434712539317,0.002185632860294702,0.0021917946984149764,0.0021670173049608992,0.9496,0.9499,0.00901930705024715,0.009010599758092451,0.009,1.002145227805239,1.8003751071073284,0.225,0.0,0.0
large_hte_n500_p5,prev_table1,True,500,5,20000,9.0,0.6923076923076923,1.0,0.72745,0.9518,0.7274,0.9518,0.73265,0.9528,0.9524,0.9546,0.0031485432941282545,0.0015145421750482886,0.003148723868490217,0.0015145421750482886,0.0031294885964003767,0.001499535928212459,0.0015055603607959393,0.001472053667499932,0.9514,0.9526,0.01808699214026953,0.018035199352348017,0.018,1.0048328966816404,1.7989969430868125,0.22435,0.0,0.0
misspec_n1000_p10,prev_table3,False,1000,10,10000,0.0,0.0,1.0,0.9523,0.9533,0.9525,0.9535,0.9546,0.9556,0.9522,0.9539,0.002131307345269564,0.002109955212794811,0.002127057827140578,0.0021056531053333543,0.0020817982611194582,0.00205982135147687,0.0021334282270561613,0.002097016690443832,,,5.006047813324212e-05,4.6812490800432426e-05,0.0,,1.0049592231581959,0.001,0.0,0.0
misspec_n1000_p2,prev_table3,False,1000,2,10000,0.0,0.0,1.0,0.9503,0.9507,0.9507,0.9508,0.9514,0.9516,0.9504,0.9509,0.0021732443488940672,0.0021649367196294677,0.0021649367196294677,0.002162853670501082,0.0021503032344299716,0.002146099718093267,0.0021711711125565387,0.0021607681504502057,,,1.2211599267364272e-05,8.241325516279348e-06,0.0,,1.0008810283228282,0.0004,0.0,0.0
misspec_n1000_p5,prev_table3,False,1000,5,10000,0.0,0.0,1.0,0.9521,0.9525,0.9522,0.9525,0.9533,0.9541,0.9521,0.9528,0.0021355465342623664,0.002127057827140578,0.0021334282270561613,0.002127057827140578,0.002109955212794811,0.0020926822501278123,0.0021355465342623664,0.0021206640469437874,,,2.625253895847189e-05,2.2404171482686636e-05,0.0,,1.0023958995689166,0.0004,0.0,0.0
null_hte_n500_p5,prev_table1,False,500,5,20000,0.0,0.0,1.0,0.9454,0.95005,0.94875,0.95275,0.9545,0.9579,0.9499,0.95395,0.0016065310454516585,0.0015403732907967478,0.0015592215605872057,0.001500290596851157,0.001473596790170228,0.0014199927816717947,0.001542562640543327,0.0014820492147698745,,,0.0008673782418098938,0.00047035381382525216,0.0,,1.0088381934704984,0.00465,0.0,0.0
rare_extreme_n500_p5,prev_table1,True,500,5,20000,1.0,0.2,1.0,0.90915,0.93905,0.9096,0.9391,0.9133,0.94145,0.9441,0.951,0.002032194349711661,0.0016916722126345866,0.002027656775689614,0.0016910232109583825,0.00198976267429058,0.0016601490520432192,0.0016244258985869432,0.0015264173741149573,0.9385,0.9408,0.0020898811596678293,0.0020351733873003866,0.002,1.0449405798339146,1.1186859136144252,0.0299,0.0136,0.06315
skew_het_n1000_p10,prev_table3,True,1000,10,10000,0.09000000000000001,0.004999848409468129,1.0,0.9423,0.9465,0.9444,0.9482,0.9505,0.954,0.9449,0.9487,0.0023317527742022733,0.0022502833154960733,0.002291476379978637,0.0022162301324546592,0.0021690954335851615,0.002094850830011532,0.0022817534923825584,0.002206089526741832,0.9429,0.9512,0.00047917273191416517,0.00030223987243428323,9e-05,5.3241414657129456,1.008646129068088,0.0042,0.0,0.0
skew_het_n1000_p2,prev_table3,True,1000,2,10000,0.09000000000000001,0.008184471822932126,1.0,0.9477,0.9511,0.9497,0.9529,0.9542,0.9568,0.9509,0.955,0.002226313320267388,0.002156589668898561,0.002185632860294702,0.002118527554694534,0.0020905109423296486,0.002033070584116548,0.0021607681504502057,0.002073041244162789,0.9484,0.9549,0.00028864680363130645,0.00011922176290306925,9e-05,3.207186707014516,1.0058669223845156,0.0034,0.0,0.0
skew_het_n1000_p5,prev_table3,True,1000,5,10000,0.09000000000000001,0.006358646566191941,1.0,0.9487,0.9523,0.9505,0.9539,0.9543,0.9578,0.9518,0.9547,0.002206089526741832,0.002131307345269564,0.0021690954335851615,0.002097016690443832,0.0020883368981081565,0.002010451690541208,0.002141886084739336,0.00207961318518613,0.9492,0.9554,0.0003483607264184305,0.00017955966179173646,9e-05,3.8706747379825606,1.0065881756222455,0.0036,0.0,0.0
skew_het_n500_p5,prev_table1,True,500,5,20000,0.09000000000000001,0.006358646566191941,1.0,0.9449,0.9507,0.94765,0.95275,0.95495,0.9592,0.94915,0.9549,0.0016134433674597946,0.001530841435289756,0.0015749520230787985,0.001500290596851157,0.0014666372676977774,0.0013988452380445798,0.0015534522441967753,0.0014674125186872305,0.9459,0.95575,0.001037044633513688,0.0005570540685525889,0.00018,5.761359075076044,1.0104367487816202,0.0058,0.0,0.0
